trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
55,202.1298,252.2094,302.2603,352.2935,402.3154,1.0000,5.3285,9.0587,33.9942,44.4974,47.0272,50.2896,74.8975,86.2899,1000000.0000
56,201.5895,251.6599,301.6713,351.6823,401.6841,1.0000,19.7372,31.3852,35.8681,39.7618,46.8413,81.7626,89.8551,103.8301,1000000.0000
57,202.0728,252.1639,302.2228,352.2604,402.2847,1.0000,8.3914,23.4883,43.6019,53.3002,63.4444,97.4419,101.1111,127.2483,1000000.0000
58,201.6542,251.7434,301.7941,351.8202,401.8299,1.0000,15.4950,21.1902,29.5083,64.9311,111.8449,119.3074,123.7298,124.9200,1000000.0000
59,201.9475,251.9903,301.9879,351.9894,401.9852,1.0000,2.6144,15.5123,38.5573,45.9409,51.2254,56.1292,105.4024,129.1417,1000000.0000
60,201.3487,251.4189,301.4870,351.5194,401.4996,1.0000,33.4551,53.1081,56.2240,78.6955,83.8044,104.3453,118.2374,120.9613,1000000.0000
61,202.2454,252.3744,302.4521,352.4954,402.5703,1.0000,4.9953,11.2670,20.3313,53.5930,69.0230,104.4232,106.3737,126.0818,1000000.0000
62,201.5068,251.6016,301.6310,351.6490,401.6500,1.0000,26.5176,52.1917,60.4474,64.1144,92.4127,112.1901,118.2857,126.4193,1000000.0000
63,201.5480,251.6373,301.6883,351.7159,401.7286,1.0000,26.4392,45.7487,68.1839,82.1809,90.6793,91.1338,99.6066,134.7353,1000000.0000
64,201.5387,251.6066,301.6514,351.6758,401.6870,1.0000,26.4392,26.7085,37.2250,52.1039,83.6282,89.0134,98.9980,133.2686,1000000.0000
65,201.5200,251.6089,301.6675,351.7066,401.7328,1.0000,1.9484,46.4103,47.0613,57.5654,63.1316,74.5757,105.8005,119.9594,1000000.0000
66,201.7307,251.7994,301.8333,351.8792,401.8474,1.0000,17.1009,26.6711,46.3596,52.1942,79.7491,89.4204,135.2511,136.7463,1000000.0000
67,201.0208,251.0829,301.1222,351.1471,401.1629,1.0000,1.2321,53.7942,76.9957,85.4887,92.8721,99.9827,108.2321,116.3812,1000000.0000
68,201.4526,251.5549,301.6215,351.6645,401.6925,1.0000,29.9658,55.6437,56.5756,69.6880,88.7817,110.5765,112.5942,131.3470,1000000.0000
69,202.2775,252.4114,302.4896,352.5427,402.5794,1.0000,8.6854,21.3296,32.6077,56.7412,72.7987,83.7186,98.2311,107.6740,1000000.0000
70,201.8381,251.8902,301.9238,351.9470,401.9584,1.0000,5.9593,12.3540,42.3429,44.1743,57.0348,57.9668,110.6470,136.4720,1000000.0000
71,201.9467,252.0624,302.1437,352.1867,402.2058,1.0000,10.0954,22.0880,70.3739,80.8950,92.1115,98.2228,123.9421,137.1393,1000000.0000
72,201.6471,251.7156,301.7574,351.7837,401.7610,1.0000,1.2727,19.1108,47.5344,53.6125,56.4601,64.5920,110.9070,124.4574,1000000.0000
73,201.5538,251.6491,301.7116,351.7487,401.7737,1.0000,13.9373,52.8267,55.7151,103.0757,125.5702,127.6065,128.3611,137.9930,1000000.0000
74,201.6821,251.7683,301.8203,351.8566,401.8818,1.0000,13.0837,25.7949,48.2162,85.4567,86.3173,90.6233,94.2904,128.3729,1000000.0000
