,rev_2,rev_20,rev_40,rev_60,rev_80,rev_100,rev_120,rev_140,rev_160,rev_180,rev_200
rev_spa_separate,3.9373288525902868,39.60119459206241,81.33419928504725,119.192806893987,161.8926243578267,206.8190924194872,249.65507015523715,294.13333781211645,300.10982521846944,378.84057227502916,411.00628405764144
rev_spa_bundle,4.645335778786156,41.747538355093745,82.56480478940429,124.80403858394588,166.38257394090488,214.8776887001085,237.1797916608447,296.9785131634638,293.51010027312094,375.2600539418166,409.9463850371668
0.95_conf_low_separate,3.770642196809146,36.603476376580716,75.74191588323147,111.66604087631839,149.07021291260358,189.78772196046225,232.49213993110106,259.85483775002064,281.9060044951631,334.81758412925416,372.59714904221744
0.95_conf_high_separate,4.104015508371427,42.59891280754411,86.92648268686303,126.7195729116556,174.7150358030498,223.85046287851213,266.81800037937325,328.41183787421227,318.3136459417758,422.86356042080416,449.41541907306544
0.95_conf_low_bundle,4.421977704583867,38.017656742297945,76.09370843618443,113.67548242095401,148.12810570604265,190.3593424273427,219.69505933913305,261.0383497719904,271.2406763150425,330.05906921931256,365.0884823529928
0.95_conf_high_bundle,4.868693852988445,45.477419967889546,89.03590114262416,135.93259474693775,184.6370421757671,239.3960349728743,254.66452398255635,332.9186765549372,315.7795242311994,420.4610386643206,454.8042877213408
