,rev_2,rev_20,rev_40,rev_60,rev_80,rev_100,rev_120,rev_140,rev_160,rev_180,rev_200
rev_spa_separate,3.9999458393467955,39.98874388544308,79.93764267919373,119.99311898226344,159.95813652738315,199.94292146736052,239.92896943634076,280.0525868407047,320.0488762671671,359.76700874742613,399.968047546722
rev_spa_bundle,4.859165100315424,43.045085768789086,83.71866781139786,124.14137934851362,164.46009949998293,204.68254248086404,244.95247848875866,284.8539859346691,325.2859568713811,365.08671450294213,405.50601300203675
0.95_conf_low_separate,3.9974969407015966,39.955518847187236,79.87550741337579,119.88867591781738,159.81787632150508,199.7584210351214,239.73700824235075,279.81433611318613,319.73894380949264,359.4902510264447,399.64538963613137
0.95_conf_high_separate,4.002394737991994,40.02196892369892,79.99977794501167,120.0975620467095,160.0983967332612,200.12742189959965,240.12093063033078,280.29083756822325,320.35880872484154,360.04376646840757,400.29070545731264
0.95_conf_low_bundle,4.855825328674325,42.99876544368054,83.62234011994117,124.00807344763312,164.27966120562036,204.39525323180652,244.68250362837983,284.5426752179424,324.89537869979927,364.69018729313154,405.0666836353582
0.95_conf_high_bundle,4.862504871956523,43.09140609389763,83.81499550285456,124.27468524939412,164.6405377943455,204.96983172992157,245.22245334913748,285.16529665139575,325.6765350429629,365.4832417127527,405.94534236871533
