,rev_2,rev_20,rev_40,rev_60,rev_80,rev_100,rev_120,rev_140,rev_160,rev_180,rev_200
rev_spa_separate,3.992382092981788,40.032759215288735,80.11316870434818,119.76464154838143,159.86627586176985,199.74014515914732,240.11117103659103,280.5886200769504,320.2072903684159,359.02436717416424,401.5474081703201
rev_spa_bundle,4.8497111882848625,43.11090385930388,83.73316009198078,124.02597485604373,164.1200591857053,204.17186533220683,244.45353086712834,286.2176511823993,325.274176354881,363.9469770219943,412.7855062066675
0.95_conf_low_separate,3.982588375149604,39.90468410133999,79.81904801130977,119.33753820493381,159.34689604981793,199.06698663680083,239.28198752481913,279.64577929312895,318.67386179008963,357.96302481247454,399.36576971500205
0.95_conf_high_separate,4.002175810813972,40.16083432923748,80.40728939738659,120.19174489182906,160.38565567372177,200.4133036814938,240.94035454836293,281.53146086077186,321.74071894674216,360.08570953585394,403.7290466256382
0.95_conf_low_bundle,4.83443307973379,42.92737548460983,83.36258023819121,123.46221695215192,163.45822276852635,203.32226219042568,243.3762561600475,284.746400139383,323.4916847390836,362.5124872272828,402.78706365803293
0.95_conf_high_bundle,4.864989296835935,43.29443223399793,84.10373994577034,124.58973275993554,164.78189560288422,205.021468473988,245.53080557420918,287.68890222541563,327.05666797067835,365.3814668167058,422.78394875530205
