,rev_2,rev_20,rev_40,rev_60,rev_80,rev_100,rev_120,rev_140,rev_160,rev_180,rev_200
rev_spa_separate,3.999986270499938,40.003632850600745,80.0157769935902,119.90708723029871,159.87107432635307,200.1144294407193,239.94049855347723,280.0373516439501,319.6046416352575,359.76885492924345,399.89644506447905
rev_spa_bundle,4.858390372299936,43.046094542622946,83.7588526677922,123.98809238592739,164.3699897920017,204.8225102826909,244.64810571016812,285.3384338693942,324.6059239192509,364.9761641408243,405.3662636980816
0.95_conf_low_separate,3.996454474607186,39.95584396084791,79.92048425888089,119.77987502186308,159.68987414594838,199.8824994985885,239.6789291091953,279.6399529803811,319.25394031675245,359.3893082218725,399.3285181995527
0.95_conf_high_separate,4.00351806639269,40.05142174035358,80.1110697282995,120.03429943873435,160.05227450675775,200.34635938285012,240.20206799775914,280.4347503075191,319.95534295376257,360.1484016366144,400.4643719294054
0.95_conf_low_bundle,4.853611494490037,42.98365071370268,83.6382649782211,123.81991780236959,164.13219516697794,204.47141977267268,244.30407958986646,284.8381127926476,324.14334981595994,364.43627389089806,404.62568841761737
0.95_conf_high_bundle,4.863169250109834,43.10853837154321,83.8794403573633,124.15626696948519,164.60778441702544,205.17360079270912,244.9921318304698,285.83875494614074,325.0684980225419,365.5160543907506,406.1068389785458
