trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
49,0.4541,0.0000,0.0460,0.2326,0.3485,0.8150,0.8287,0.9049,0.9250,0.9690,0.9855
50,0.4624,0.0000,0.0584,0.1059,0.2334,0.2494,0.2966,0.6898,0.7307,0.9510,0.9920
51,0.5040,0.0000,0.1719,0.2378,0.2724,0.3045,0.3743,0.3791,0.4493,0.7488,0.8817
52,0.5043,0.0000,0.2377,0.5024,0.6340,0.6996,0.7508,0.8392,0.8673,0.9402,0.9426
53,0.5238,0.0000,0.0709,0.1313,0.1524,0.2928,0.4175,0.4518,0.6041,0.9680,0.9944
54,0.5257,0.0000,0.2748,0.3828,0.4067,0.5469,0.5521,0.5922,0.8954,0.8968,0.9678
55,0.5262,0.0000,0.2484,0.2717,0.3104,0.3730,0.4017,0.4554,0.5059,0.5250,0.7506
56,0.5026,0.0000,0.0487,0.1046,0.2536,0.3335,0.3485,0.4461,0.7401,0.8623,0.9242
57,0.5229,0.0000,0.2049,0.2827,0.3417,0.5437,0.6224,0.6762,0.6805,0.7105,0.8792
58,0.5188,0.0000,0.0079,0.0243,0.0302,0.0895,0.3727,0.4059,0.5305,0.7103,0.9221
59,0.5174,0.0000,0.1157,0.2097,0.2791,0.3426,0.5771,0.6222,0.6720,0.6953,0.9489
60,0.5040,0.0000,0.0027,0.0169,0.5098,0.5887,0.6004,0.6472,0.6965,0.8137,0.9628
61,0.5201,0.0000,0.0909,0.0972,0.2278,0.3340,0.4103,0.4420,0.5200,0.6940,0.7908
62,0.5062,0.0000,0.1335,0.5027,0.5414,0.6188,0.6233,0.8718,0.8870,0.9223,0.9806
63,0.4754,0.0000,0.0360,0.1748,0.3000,0.3891,0.8299,0.9198,0.9233,0.9521,0.9683
64,0.4983,0.0000,0.0765,0.1602,0.1605,0.4403,0.4464,0.6611,0.6965,0.8863,0.9079
65,0.5014,0.0000,0.0396,0.0599,0.0611,0.2474,0.5289,0.6726,0.7399,0.8981,0.9077
66,0.5152,0.0000,0.1747,0.3044,0.3280,0.3622,0.3782,0.4706,0.6803,0.9795,0.9980
67,0.5325,0.0000,0.0632,0.2384,0.2840,0.3375,0.3679,0.4565,0.4776,0.5145,0.6072
68,0.5160,0.0000,0.0968,0.1334,0.3434,0.3519,0.3973,0.5910,0.6592,0.9705,0.9993
69,0.4958,0.0000,0.1477,0.3355,0.6376,0.6982,0.7214,0.7646,0.8131,0.8898,0.9762
70,0.5223,0.0000,0.0626,0.1070,0.1173,0.2419,0.4323,0.5220,0.5897,0.7731,0.9587
71,0.4954,0.0000,0.1478,0.3803,0.3998,0.6568,0.6849,0.7454,0.8482,0.9358,0.9834
72,0.5166,0.0000,0.0585,0.0973,0.1690,0.2416,0.4706,0.4978,0.5811,0.8596,0.8621
73,0.5048,0.0000,0.1158,0.1173,0.2713,0.3998,0.4038,0.4237,0.4571,0.8571,0.9800
74,0.5142,0.0000,0.0700,0.3447,0.3992,0.4318,0.6145,0.6392,0.6714,0.7138,0.8224
75,0.5242,0.0000,0.0300,0.1105,0.3210,0.4050,0.4054,0.5369,0.6534,0.7263,0.7373
76,0.4975,0.0000,0.0292,0.1033,0.1098,0.5349,0.6063,0.6348,0.7032,0.8672,0.9591
77,0.5197,0.0000,0.0191,0.1906,0.2229,0.3651,0.3732,0.4042,0.5181,0.5242,0.8428
78,0.3895,0.0000,0.0656,0.0661,0.0805,0.0853,0.1000,0.1621,0.2214,0.2650,0.8563
79,0.5292,0.0000,0.1534,0.1996,0.3494,0.4330,0.4564,0.5282,0.5597,0.7735,0.7815
80,0.4768,0.0000,0.0290,0.3926,0.6908,0.7510,0.7593,0.8784,0.8957,0.9272,0.9873
81,0.5246,0.0000,0.2609,0.2773,0.3645,0.3649,0.3764,0.4960,0.5011,0.5244,0.6817
82,0.4744,0.0000,0.0039,0.0468,0.0814,0.1174,0.1598,0.1786,0.6129,0.8819,0.9707
83,0.5181,0.0000,0.2672,0.3004,0.5076,0.5208,0.5495,0.7196,0.8774,0.9308,0.9664
84,0.5075,0.0000,0.0014,0.2477,0.3182,0.3361,0.3719,0.4446,0.4585,0.8588,0.8807
85,0.4857,0.0000,0.1660,0.2165,0.2449,0.3767,0.6757,0.7919,0.9450,0.9661,0.9919
