trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11
51,0.5154,0.0000,0.0495,0.1019,0.1342,0.2551,0.2988,0.3165,0.5340,0.6855,0.7505,0.9980
52,0.5234,0.0000,0.1067,0.2961,0.3966,0.4088,0.4611,0.4934,0.6570,0.8848,0.9352,0.9442
53,0.5283,0.0000,0.1040,0.1317,0.2849,0.3970,0.4897,0.6153,0.7020,0.7044,0.7091,0.9079
54,0.5154,0.0000,0.2716,0.4835,0.5266,0.5379,0.6075,0.7925,0.8356,0.8812,0.9164,0.9377
55,0.5096,0.0000,0.1965,0.3052,0.3198,0.4587,0.6715,0.6779,0.7690,0.8175,0.9021,0.9834
56,0.5249,0.0000,0.0163,0.1404,0.3215,0.4429,0.4742,0.5148,0.6428,0.7129,0.8430,0.8981
57,0.5223,0.0000,0.0380,0.0579,0.2914,0.3744,0.5315,0.6672,0.8021,0.8305,0.9565,0.9642
58,0.4897,0.0000,0.0304,0.0424,0.1122,0.1936,0.3538,0.3595,0.3783,0.6579,0.9004,0.9833
59,0.5180,0.0000,0.2218,0.2277,0.4468,0.4939,0.5510,0.6672,0.7981,0.8370,0.9296,0.9805
60,0.5165,0.0000,0.0455,0.1980,0.3173,0.4048,0.4131,0.5887,0.6013,0.7101,0.7719,0.7899
61,0.5172,0.0000,0.1503,0.4284,0.5559,0.5583,0.6497,0.7416,0.7705,0.8810,0.9082,0.9793
62,0.4988,0.0000,0.0738,0.1051,0.4910,0.7176,0.7382,0.7999,0.8755,0.9065,0.9232,0.9826
63,0.5270,0.0000,0.1384,0.1940,0.2982,0.3109,0.3487,0.4810,0.4984,0.5863,0.7018,0.8626
64,0.4896,0.0000,0.0598,0.1275,0.3503,0.4145,0.8049,0.8406,0.8473,0.8488,0.9197,0.9984
65,0.5265,0.0000,0.0425,0.0686,0.2289,0.3401,0.3580,0.5145,0.5469,0.6406,0.6886,0.9608
66,0.5238,0.0000,0.0197,0.0409,0.2578,0.3176,0.3290,0.4351,0.5909,0.6283,0.7224,0.7402
67,0.4850,0.0000,0.0343,0.5867,0.5882,0.7203,0.7689,0.7698,0.8566,0.8988,0.9790,0.9985
68,0.5041,0.0000,0.0988,0.1316,0.1969,0.3731,0.4527,0.7137,0.7403,0.7486,0.8210,0.9154
69,0.5029,0.0000,0.1065,0.1466,0.1989,0.3053,0.4116,0.6509,0.6568,0.9192,0.9431,0.9907
70,0.5162,0.0000,0.0535,0.1816,0.3831,0.3931,0.4173,0.5897,0.6845,0.8273,0.8816,0.9291
71,0.5217,0.0000,0.1122,0.1933,0.3466,0.5065,0.6295,0.6629,0.7321,0.8454,0.8901,0.9891
72,0.5175,0.0000,0.0004,0.0428,0.1018,0.2737,0.3075,0.4621,0.6384,0.6730,0.7780,0.8757
73,0.5111,0.0000,0.0780,0.1853,0.4151,0.4518,0.5200,0.7990,0.7998,0.8018,0.8049,0.9605
74,0.5118,0.0000,0.0666,0.1531,0.1975,0.2360,0.2403,0.4703,0.5283,0.6717,0.7631,0.9597
75,0.5236,0.0000,0.0929,0.4005,0.4169,0.4288,0.4562,0.5552,0.5621,0.5962,0.6953,0.8702
76,0.5075,0.0000,0.0443,0.1665,0.2215,0.2815,0.3773,0.6143,0.7711,0.8181,0.8512,0.9260
77,0.5047,0.0000,0.0328,0.1887,0.2442,0.3391,0.4313,0.6726,0.7675,0.8030,0.8285,0.8527
78,0.5196,0.0000,0.1096,0.1165,0.1441,0.1632,0.4202,0.5168,0.5658,0.6962,0.8997,0.9829
79,0.5213,0.0000,0.0329,0.2313,0.3079,0.3102,0.4160,0.5154,0.7285,0.7699,0.8497,0.9007
80,0.4573,0.0000,0.0037,0.1548,0.2041,0.2065,0.2553,0.2942,0.3539,0.8451,0.8846,0.9454
81,0.4190,0.0000,0.1156,0.1667,0.1727,0.1960,0.2173,0.2863,0.7429,0.7975,0.8080,0.9270
82,0.5195,0.0000,0.0245,0.0941,0.1097,0.3217,0.3883,0.4266,0.4816,0.4936,0.8184,0.8257
83,0.4902,0.0000,0.0091,0.0804,0.1073,0.1917,0.2380,0.6012,0.7619,0.8061,0.8346,0.8908
84,0.5072,0.0000,0.1544,0.2075,0.2705,0.3127,0.3531,0.3843,0.6162,0.7034,0.8843,0.9585
85,0.5055,0.0000,0.0842,0.1655,0.2733,0.5667,0.6660,0.7006,0.7885,0.8418,0.8871,0.9739
86,0.5290,0.0000,0.0741,0.1712,0.1782,0.3207,0.4318,0.4694,0.4768,0.5287,0.6219,0.7595
87,0.5186,0.0000,0.0726,0.2193,0.2664,0.3686,0.5439,0.7667,0.7716,0.7890,0.8445,0.9793
88,0.4925,0.0000,0.0590,0.1442,0.5611,0.6278,0.6616,0.7487,0.8110,0.8365,0.8400,0.9050
89,0.5252,0.0000,0.0157,0.0284,0.2262,0.2781,0.2936,0.3259,0.5025,0.5470,0.5592,0.9682
90,0.5045,0.0000,0.0133,0.4878,0.6063,0.6077,0.6230,0.7047,0.8243,0.8743,0.9560,0.9583
91,0.5164,0.0000,0.1013,0.1520,0.3406,0.5557,0.7439,0.7841,0.8181,0.8748,0.9670,0.9891
92,0.5297,0.0000,0.3017,0.3137,0.3155,0.4302,0.4835,0.5124,0.5996,0.8443,0.8618,0.9091
93,0.5078,0.0000,0.1753,0.1874,0.2020,0.2127,0.4905,0.6097,0.6937,0.6977,0.7792,0.9704
94,0.5276,0.0000,0.1121,0.1813,0.2848,0.3214,0.4014,0.4446,0.4766,0.6156,0.9301,0.9466
95,0.5119,0.0000,0.0811,0.1331,0.2096,0.3475,0.4542,0.4546,0.4807,0.8652,0.9179,0.9551
96,0.5289,0.0000,0.0444,0.1458,0.1942,0.3491,0.4131,0.5189,0.5228,0.6002,0.6082,0.8701
97,0.4401,0.0000,0.0835,0.1048,0.1180,0.1409,0.2250,0.2543,0.3269,0.8373,0.8627,0.9371
98,0.4932,0.0000,0.0263,0.1128,0.5584,0.6072,0.6660,0.7089,0.7182,0.8020,0.8167,0.9575
99,0.5157,0.0000,0.4580,0.5123,0.5494,0.6170,0.7046,0.7189,0.7468,0.8257,0.8878,0.9229
100,0.5293,0.0000,0.0683,0.2687,0.2852,0.2865,0.3147,0.3559,0.5008,0.5786,0.6836,0.7013
